Z,Element_Name,Ionization_eV,Waveform
1,Hydrogen,13.598434599702,"0.000000,0.003477,0.006954,0.010432,0.013909,0.017386,0.020862,0.024339,0.027815,0.031290,0.034766,0.038241,0.041715,0.045189,0.048663,0.052136,0.055608,0.059079,0.062550,0.066020,0.069489,0.072958,0.076426,0.079892,0.083358,0.086822,0.090286,0.093749,0.097210,0.100670,0.104129,0.107587,0.111043,0.114498,0.117952,0.121404,0.124855,0.128305,0.131752,0.135199,0.138643,0.142086,0.145527,0.148966,0.152404,0.155840,0.159274,0.162705,0.166135,0.169563"
2,Helium,24.587389011,"0.000000,0.002586,0.005172,0.007758,0.010344,0.012930,0.015515,0.018101,0.020686,0.023272,0.025857,0.028442,0.031027,0.033612,0.036196,0.038780,0.041364,0.043948,0.046531,0.049114,0.051697,0.054279,0.056861,0.059443,0.062024,0.064605,0.067185,0.069765,0.072345,0.074924,0.077502,0.080080,0.082657,0.085234,0.087811,0.090386,0.092961,0.095536,0.098110,0.100683,0.103255,0.105827,0.108398,0.110969,0.113538,0.116107,0.118675,0.121243,0.123809,0.126375"
3,Lithium,5.391714996,"0.000000,0.005522,0.011044,0.016566,0.022087,0.027608,0.033128,0.038647,0.044164,0.049680,0.055195,0.060708,0.066219,0.071728,0.077235,0.082740,0.088242,0.093741,0.099238,0.104731,0.110222,0.115709,0.121192,0.126672,0.132148,0.137619,0.143087,0.148550,0.154009,0.159463,0.164912,0.170356,0.175795,0.181229,0.186657,0.192079,0.197496,0.202906,0.208311,0.213709,0.219100,0.224485,0.229863,0.235234,0.240597,0.245954,0.251303,0.256644,0.261977,0.267303"
4,Beryllium,9.322699,"0.000000,0.004200,0.008399,0.012599,0.016798,0.020997,0.025195,0.029393,0.033591,0.037788,0.041984,0.046180,0.050374,0.054568,0.058761,0.062953,0.067144,0.071333,0.075522,0.079709,0.083894,0.088078,0.092261,0.096442,0.100621,0.104798,0.108974,0.113148,0.117319,0.121489,0.125656,0.129822,0.133985,0.138145,0.142303,0.146459,0.150612,0.154762,0.158910,0.163055,0.167197,0.171336,0.175472,0.179605,0.183735,0.187861,0.191984,0.196104,0.200221,0.204333"
5,Boron,8.298019,"0.000000,0.004451,0.008903,0.013354,0.017805,0.022255,0.026705,0.031155,0.035604,0.040052,0.044499,0.048946,0.053391,0.057836,0.062279,0.066721,0.071162,0.075602,0.080039,0.084476,0.088910,0.093343,0.097774,0.102203,0.106630,0.111055,0.115478,0.119899,0.124317,0.128732,0.133145,0.137556,0.141964,0.146368,0.150770,0.155169,0.159565,0.163958,0.168348,0.172734,0.177117,0.181496,0.185872,0.190244,0.194612,0.198976,0.203336,0.207693,0.212045,0.216393"
6,Carbon,11.260288,"0.000000,0.003821,0.007642,0.011464,0.015285,0.019105,0.022926,0.026746,0.030565,0.034385,0.038204,0.042022,0.045839,0.049656,0.053472,0.057288,0.061102,0.064916,0.068729,0.072541,0.076351,0.080161,0.083969,0.087776,0.091582,0.095387,0.099190,0.102992,0.106792,0.110590,0.114388,0.118183,0.121977,0.125768,0.129558,0.133346,0.137133,0.140917,0.144699,0.148479,0.152257,0.156032,0.159806,0.163577,0.167345,0.171111,0.174875,0.178636,0.182395,0.186151"
7,Nitrogen,14.53413,"0.000000,0.003363,0.006727,0.010090,0.013454,0.016817,0.020180,0.023542,0.026905,0.030267,0.033628,0.036990,0.040351,0.043711,0.047071,0.050431,0.053790,0.057148,0.060506,0.063863,0.067219,0.070574,0.073929,0.077283,0.080636,0.083988,0.087339,0.090689,0.094038,0.097386,0.100733,0.104079,0.107424,0.110767,0.114109,0.117450,0.120790,0.124128,0.127465,0.130800,0.134134,0.137466,0.140797,0.144126,0.147454,0.150780,0.154104,0.157426,0.160747,0.164066"
8,Oxygen,13.618055,"0.000000,0.003475,0.006949,0.010424,0.013899,0.017373,0.020847,0.024321,0.027795,0.031268,0.034741,0.038213,0.041685,0.045157,0.048628,0.052098,0.055568,0.059037,0.062505,0.065973,0.069440,0.072905,0.076371,0.079835,0.083298,0.086760,0.090221,0.093681,0.097140,0.100598,0.104054,0.107510,0.110964,0.114416,0.117868,0.121317,0.124766,0.128213,0.131658,0.135102,0.138544,0.141984,0.145423,0.148860,0.152295,0.155728,0.159160,0.162589,0.166017,0.169442"
9,Fluorine,17.42282,"0.000000,0.003072,0.006144,0.009216,0.012288,0.015360,0.018431,0.021503,0.024574,0.027645,0.030715,0.033786,0.036856,0.039926,0.042995,0.046064,0.049133,0.052201,0.055268,0.058335,0.061402,0.064468,0.067533,0.070598,0.073662,0.076725,0.079788,0.082850,0.085911,0.088971,0.092030,0.095089,0.098147,0.101203,0.104259,0.107314,0.110368,0.113420,0.116472,0.119523,0.122572,0.125620,0.128667,0.131713,0.134758,0.137801,0.140843,0.143884,0.146923,0.149961"
10,Neon,21.564541,"0.000000,0.002761,0.005523,0.008284,0.011045,0.013806,0.016567,0.019328,0.022089,0.024849,0.027609,0.030370,0.033130,0.035889,0.038649,0.041408,0.044166,0.046925,0.049683,0.052441,0.055198,0.057955,0.060711,0.063467,0.066223,0.068978,0.071732,0.074486,0.077239,0.079992,0.082744,0.085496,0.088247,0.090997,0.093746,0.096495,0.099243,0.101990,0.104737,0.107483,0.110228,0.112972,0.115715,0.118457,0.121199,0.123939,0.126679,0.129417,0.132155,0.134891"
11,Sodium,5.13907696,"0.000000,0.005656,0.011313,0.016968,0.022624,0.028278,0.033932,0.039585,0.045236,0.050886,0.056534,0.062180,0.067825,0.073467,0.079107,0.084744,0.090379,0.096011,0.101640,0.107265,0.112887,0.118506,0.124120,0.129731,0.135337,0.140940,0.146537,0.152130,0.157718,0.163301,0.168879,0.174452,0.180019,0.185580,0.191135,0.196684,0.202227,0.207763,0.213292,0.218815,0.224331,0.229840,0.235341,0.240835,0.246321,0.251799,0.257269,0.262731,0.268184,0.273629"
12,Magnesium,7.646236,"0.000000,0.004637,0.009274,0.013911,0.018548,0.023184,0.027820,0.032455,0.037089,0.041723,0.046356,0.050988,0.055618,0.060248,0.064876,0.069503,0.074128,0.078752,0.083373,0.087994,0.092612,0.097228,0.101842,0.106455,0.111064,0.115672,0.120276,0.124879,0.129478,0.134075,0.138669,0.143260,0.147848,0.152432,0.157014,0.161592,0.166166,0.170737,0.175305,0.179868,0.184428,0.188984,0.193535,0.198083,0.202626,0.207165,0.211699,0.216229,0.220754,0.225275"
13,Aluminum,5.985769,"0.000000,0.005241,0.010482,0.015723,0.020963,0.026203,0.031442,0.036680,0.041917,0.047153,0.052387,0.057620,0.062852,0.068082,0.073310,0.078536,0.083760,0.088981,0.094200,0.099417,0.104630,0.109841,0.115049,0.120254,0.125455,0.130653,0.135848,0.141038,0.146225,0.151408,0.156586,0.161761,0.166931,0.172096,0.177256,0.182412,0.187563,0.192708,0.197848,0.202983,0.208112,0.213236,0.218353,0.223465,0.228571,0.233670,0.238763,0.243849,0.248928,0.254001"
14,Silicon,8.15168,"0.000000,0.004491,0.008982,0.013473,0.017964,0.022454,0.026944,0.031433,0.035922,0.040410,0.044897,0.049383,0.053868,0.058352,0.062835,0.067317,0.071797,0.076276,0.080753,0.085229,0.089703,0.094175,0.098645,0.103113,0.107580,0.112044,0.116505,0.120965,0.125422,0.129876,0.134328,0.138777,0.143223,0.147667,0.152107,0.156545,0.160979,0.165410,0.169837,0.174262,0.178682,0.183099,0.187513,0.191922,0.196328,0.200730,0.205128,0.209521,0.213911,0.218296"
15,Phosphorus,10.486686,"0.000000,0.003960,0.007919,0.011879,0.015838,0.019797,0.023756,0.027715,0.031672,0.035630,0.039587,0.043543,0.047499,0.051454,0.055408,0.059361,0.063313,0.067264,0.071215,0.075164,0.079112,0.083058,0.087004,0.090948,0.094890,0.098831,0.102771,0.106709,0.110645,0.114580,0.118512,0.122443,0.126372,0.130299,0.134224,0.138147,0.142068,0.145986,0.149902,0.153816,0.157727,0.161636,0.165543,0.169447,0.173348,0.177246,0.181142,0.185034,0.188924,0.192811"
16,Sulfur,10.3600167,"0.000000,0.003984,0.007968,0.011951,0.015935,0.019918,0.023901,0.027883,0.031865,0.035847,0.039828,0.043808,0.047788,0.051767,0.055745,0.059722,0.063699,0.067674,0.071648,0.075621,0.079593,0.083563,0.087533,0.091501,0.095467,0.099432,0.103395,0.107357,0.111317,0.115275,0.119231,0.123186,0.127138,0.131089,0.135037,0.138984,0.142928,0.146869,0.150809,0.154746,0.158681,0.162613,0.166542,0.170469,0.174393,0.178315,0.182233,0.186149,0.190062,0.193971"
17,Chlorine,12.967633,"0.000000,0.003561,0.007122,0.010682,0.014243,0.017803,0.021363,0.024923,0.028483,0.032042,0.035601,0.039159,0.042717,0.046274,0.049831,0.053387,0.056943,0.060497,0.064051,0.067605,0.071157,0.074708,0.078259,0.081808,0.085356,0.088904,0.092450,0.095995,0.099539,0.103081,0.106622,0.110162,0.113701,0.117238,0.120773,0.124307,0.127840,0.131371,0.134900,0.138427,0.141953,0.145477,0.148999,0.152519,0.156037,0.159553,0.163068,0.166580,0.170090,0.173598"
