k_runners,L1_Mass,Status
2,1.0004931436568738,STABLE
7,2.6630181110180566,STABLE
12,15.67466162750805,RUPTURE
17,49.59738260403067,RUPTURE
22,60.39480822660557,RUPTURE
27,591.224775210502,RUPTURE
32,1073.661821742675,RUPTURE
37,101838.83620027955,RUPTURE
42,1000000000.0,RUPTURE
47,1000000000.0,RUPTURE
52,1000000000.0,RUPTURE
57,1000000000.0,RUPTURE
62,1000000000.0,RUPTURE
67,1000000000.0,RUPTURE
72,1000000000.0,RUPTURE
77,1000000000.0,RUPTURE
82,1000000000.0,RUPTURE
87,1000000000.0,RUPTURE
92,1000000000.0,RUPTURE
97,1000000000.0,RUPTURE
102,1000000000.0,RUPTURE
107,1000000000.0,RUPTURE
112,1000000000.0,RUPTURE
117,1000000000.0,RUPTURE
122,1000000000.0,RUPTURE
127,1000000000.0,RUPTURE
132,1000000000.0,RUPTURE
137,1000000000.0,RUPTURE
142,1000000000.0,RUPTURE
147,1000000000.0,RUPTURE
