k,min_L1_mass,status,success,grain_margin
2,1.0002e+00,STABLE,1,0.496880663
3,1.0002e+00,STABLE,1,0.330213996
4,1.0002e+00,STABLE,1,0.246880663
5,1.0055e+00,STABLE,1,0.196880663
6,1.0315e+00,STABLE,1,0.163547330
7,1.0352e+00,STABLE,1,0.139737806
8,1.0535e+00,STABLE,1,0.121880663
9,1.1499e+00,STABLE,1,0.107991774
10,2.5258e+00,STABLE,1,0.096880663
11,2.5633e+00,STABLE,1,0.087789754
12,3.6639e+00,STABLE,1,0.080213996
13,5.1422e+00,STABLE,1,0.073803740
14,5.1843e+00,STABLE,1,0.068309234
15,5.7236e+00,STABLE,1,0.063547330
16,6.7312e+00,STABLE,1,0.059380663
17,6.5475e+00,STABLE,1,0.055704192
18,8.9291e+00,STABLE,1,0.052436219
19,8.3542e+00,STABLE,1,0.049512242
20,7.3048e+00,STABLE,1,0.046880663
21,1.0419e+01,STABLE,1,0.044499711
22,1.2891e+01,STABLE,1,0.042335208
23,1.0504e+01,STABLE,1,0.040358924
24,1.1477e+01,STABLE,1,0.038547330
25,1.6993e+01,DANGER ZONE,0,0.036880663
26,1.4371e+01,STABLE,1,0.035342201
27,1.6159e+01,DANGER ZONE,0,0.033917700
28,1.9636e+01,DANGER ZONE,0,0.032594949
29,2.0076e+01,DANGER ZONE,0,0.031363422
30,2.0377e+01,DANGER ZONE,0,0.030213996
31,1.9449e+01,DANGER ZONE,0,0.029138728
32,1.9944e+01,DANGER ZONE,0,0.028130663
33,2.3748e+01,DANGER ZONE,0,0.027183693
34,2.0162e+01,DANGER ZONE,0,0.026292428
35,2.1785e+01,DANGER ZONE,0,0.025452092
36,2.7010e+01,DANGER ZONE,0,0.024658441
37,2.7150e+01,DANGER ZONE,0,0.023907690
38,2.9898e+01,DANGER ZONE,0,0.023196452
39,3.0010e+01,DANGER ZONE,0,0.022521689
40,2.8393e+01,DANGER ZONE,0,0.021880663
41,3.3028e+01,DANGER ZONE,0,0.021270907
42,2.9045e+01,DANGER ZONE,0,0.020690187
43,3.1212e+01,DANGER ZONE,0,0.020136477
44,3.3691e+01,DANGER ZONE,0,0.019607936
45,3.2249e+01,DANGER ZONE,0,0.019102885
46,3.7829e+01,DANGER ZONE,0,0.018619793
47,4.1847e+01,DANGER ZONE,0,0.018157259
48,3.9786e+01,DANGER ZONE,0,0.017713996
49,4.4164e+01,DANGER ZONE,0,0.017288826
50,4.9163e+01,DANGER ZONE,0,0.016880663
51,4.4230e+00,STABLE,1,0.016488506
52,5.1856e+00,STABLE,1,0.016111432
53,6.1179e+00,STABLE,1,0.015748588
54,7.4094e+00,STABLE,1,0.015399182
55,1.3029e+00,STABLE,1,0.015062481
56,1.8040e+01,DANGER ZONE,0,0.014737806
57,2.3838e+00,STABLE,1,0.014424523
58,1.2334e+01,STABLE,1,0.014122042
59,2.0670e+00,STABLE,1,0.013829816
60,4.5718e+00,STABLE,1,0.013547330
61,6.6097e+00,STABLE,1,0.013274106
62,1.4261e+01,STABLE,1,0.013009695
63,2.2338e+01,DANGER ZONE,0,0.012753679
64,9.5879e+00,STABLE,1,0.012505663
65,1.0684e+01,STABLE,1,0.012265278
66,1.5244e+01,DANGER ZONE,0,0.012032178
67,1.3566e+00,STABLE,1,0.011806036
68,1.4736e+01,STABLE,1,0.011586545
69,1.6309e+01,DANGER ZONE,0,0.011373417
70,3.1733e+01,DANGER ZONE,0,0.011166377
71,2.6265e+01,DANGER ZONE,0,0.010965170
72,1.5864e+01,DANGER ZONE,0,0.010769552
73,1.5547e+01,DANGER ZONE,0,0.010579293
74,1.8156e+00,STABLE,1,0.010394177
75,2.7155e+00,STABLE,1,0.010213996
76,4.4223e+00,STABLE,1,0.010038558
77,1.5582e+01,DANGER ZONE,0,0.009867676
78,1.5220e+01,DANGER ZONE,0,0.009701176
79,1.4770e+01,STABLE,1,0.009538891
80,1.5604e+01,DANGER ZONE,0,0.009380663
81,1.4687e+01,STABLE,1,0.009226342
82,1.2706e+01,STABLE,1,0.009075785
83,1.6167e+01,DANGER ZONE,0,0.008928856
84,3.0409e+01,DANGER ZONE,0,0.008785425
85,1.5440e+01,DANGER ZONE,0,0.008645369
86,1.6398e+01,DANGER ZONE,0,0.008508570
87,5.5771e+00,STABLE,1,0.008374916
88,8.1055e+00,STABLE,1,0.008244299
89,5.5757e+00,STABLE,1,0.008116618
90,2.6325e+01,DANGER ZONE,0,0.007991774
91,5.2827e+00,STABLE,1,0.007869674
92,2.8849e+01,DANGER ZONE,0,0.007750228
93,2.1341e+01,DANGER ZONE,0,0.007633351
94,2.2865e+01,DANGER ZONE,0,0.007518961
95,2.4309e+01,DANGER ZONE,0,0.007406979
96,3.2268e+00,STABLE,1,0.007297330
97,2.6977e+01,DANGER ZONE,0,0.007189941
98,2.7714e+01,DANGER ZONE,0,0.007084745
99,2.5775e+01,DANGER ZONE,0,0.006981673
100,2.6577e+01,DANGER ZONE,0,0.006880663
101,1.0924e+01,STABLE,1,0.006781653
102,2.8102e+01,DANGER ZONE,0,0.006684585
103,3.8373e+01,DANGER ZONE,0,0.006589401
104,3.9360e+01,DANGER ZONE,0,0.006496048
105,2.6745e+01,DANGER ZONE,0,0.006404473
106,2.8414e+01,DANGER ZONE,0,0.006314625
107,2.9992e+01,DANGER ZONE,0,0.006226457
108,2.2842e+01,DANGER ZONE,0,0.006139922
109,1.9148e+01,DANGER ZONE,0,0.006054975
110,2.0017e+01,DANGER ZONE,0,0.005971572
111,1.9939e+01,DANGER ZONE,0,0.005889672
112,4.2012e+01,DANGER ZONE,0,0.005809234
113,4.2464e+01,DANGER ZONE,0,0.005730221
114,4.5926e+01,DANGER ZONE,0,0.005652593
115,8.2810e+00,STABLE,1,0.005576315
116,4.6570e+01,DANGER ZONE,0,0.005501353
117,1.8136e+00,STABLE,1,0.005427672
118,4.7618e+01,DANGER ZONE,0,0.005355239
119,4.8115e+01,DANGER ZONE,0,0.005284024
120,2.6182e+01,DANGER ZONE,0,0.005213996
121,2.3057e+00,STABLE,1,0.005145126
122,2.7954e+01,DANGER ZONE,0,0.005077384
123,2.8795e+01,DANGER ZONE,0,0.005010744
124,4.3181e+01,DANGER ZONE,0,0.004945179
125,4.4110e+01,DANGER ZONE,0,0.004880663
126,1.7026e+01,DANGER ZONE,0,0.004817171
127,1.8231e+01,DANGER ZONE,0,0.004754679
128,1.9391e+01,DANGER ZONE,0,0.004693163
129,5.0599e+01,DANGER ZONE,0,0.004632601
130,5.1078e+01,DANGER ZONE,0,0.004572971
131,5.1541e+01,DANGER ZONE,0,0.004514251
132,4.6467e+01,DANGER ZONE,0,0.004456421
133,2.9018e+01,DANGER ZONE,0,0.004399460
134,4.7388e+01,DANGER ZONE,0,0.004343350
135,1.2703e+01,STABLE,1,0.004288070
136,1.4494e+01,STABLE,1,0.004233604
137,1.7983e+01,DANGER ZONE,0,0.004179933
138,1.9773e+01,DANGER ZONE,0,0.004127040
139,2.1480e+01,DANGER ZONE,0,0.004074908
140,7.0530e+01,DANGER ZONE,0,0.004023520
141,7.1360e+01,DANGER ZONE,0,0.003972862
142,1.1519e+01,STABLE,1,0.003922917
143,6.9387e+01,DANGER ZONE,0,0.003873670
144,7.4780e+00,STABLE,1,0.003825107
145,3.6097e+01,DANGER ZONE,0,0.003777215
146,1.5752e+01,DANGER ZONE,0,0.003729978
147,1.1226e+01,STABLE,1,0.003683384
148,8.9324e+00,STABLE,1,0.003637420
149,3.1032e+01,DANGER ZONE,0,0.003592072
150,1.1841e+01,STABLE,1,0.003547330
151,1.2950e+01,STABLE,1,0.003503180
152,4.3197e+01,DANGER ZONE,0,0.003459610
