k_runners,L1_Informational_Mass,Stability
2,1.0002073045000148,STABLE
3,1.0002073045000721,STABLE
4,1.0392151274590702,STABLE
5,1.0002073045000488,STABLE
6,1.1604297664375027,STABLE
7,2.059312768951574,STABLE
8,1.6506491374128371,STABLE
9,2.5998367814744237,STABLE
10,2.9187511329828513,STABLE
11,1.3949848505921258,STABLE
12,1.8686919077886144,STABLE
13,3.3344126641335254,STABLE
14,2.6383940449346044,STABLE
15,3.327298518743757,STABLE
16,3.8528082439136893,STABLE
17,3.9358279122893443,STABLE
18,3.960980737053675,STABLE
19,3.881372560388126,STABLE
20,3.7686236578021544,STABLE
21,3.6209797049079553,STABLE
22,3.982409224707581,STABLE
23,3.319979766122345,STABLE
24,4.541593350169432,STABLE
25,4.32976136088787,STABLE
